variable,SHAP_mean_abs
MCC,0.4828385814718642
Pays,0.3801034683283233
FM_Sum_24,0.15997010379520885
montant_log,0.12893694635772482
month,0.09644455647403911
hour,0.08857264246189873
sum_conc_3_24,0.08434375287513271
CodeRep,0.08002820158344294
FM_Redondance_MCC_24,0.07725759026916133
FM_Sum_3,0.06762335069259644
dow,0.05457717178068725
vel_burst_3_24,0.04951652487025671
FM_Velocity_Condition_24,0.04770197388781888
montant_round,0.03295035150001209
montant_vs_sum24,0.032417861359211445
FM_Sum_12,0.0250640044456665
FM_Sum_6,0.019992999043474312
code_refus,0.01448647426343343
FM_Velocity_Condition_12,0.01341891495103116
FM_Velocity_Condition_3,0.010766807828443152
FM_Velocity_Condition_6,0.00803069346543474
redond_ratio_3_24,0.0031740224607878114
FM_Redondance_MCC_3,0.0023224082787457264
FM_Redondance_MCC_6,0.0020706205228378572
is_night,0.001885495539006543
FM_Redondance_MCC_12,0.0010520213589530379
is_weekend,0.0
vel24_gt10,0.0
code_lost_stolen,0.0
