trial,PR_AUC,params_learning_rate,params_max_leaf_nodes,params_min_samples_leaf,params_l2_regularization,params_max_iter
23,0.21885722485622475,0.03705963585078022,37,499,2.2443495081336833,402
17,0.21513532439413713,0.017373007768231707,62,495,0.639661483143416,355
26,0.2150550310554539,0.012937158262779249,38,467,0.32754784949566457,483
28,0.2149555459506159,0.02212981900947089,48,463,0.3110331054716232,390
3,0.21439302034712526,0.013449326615130807,15,425,3.6000911929116097,722
24,0.21383243134168387,0.033177202035497566,47,497,2.052263853510488,349
1,0.2136179024851282,0.08996299860535256,36,452,8.459126528049378,430
21,0.21286292035412582,0.04862242914230856,32,452,0.7631746715775157,307
15,0.2127365803144147,0.01759889907196287,25,446,4.995698877487811,696
27,0.2123830053502429,0.042353407327702784,39,470,0.25586384466038437,487
8,0.21228198010568508,0.03396540216391729,36,364,0.13196262418422197,600
9,0.2119796396679816,0.09786185674688934,25,108,0.42742183240368437,418
12,0.21142220865715433,0.02506808094299476,30,419,3.700925807982046,660
5,0.2110212797289991,0.088153780513692,22,476,1.105851072569646,449
18,0.21091897601833565,0.015066682828287306,44,494,0.48204986589821597,318
11,0.21060542331119297,0.01076524551576426,17,490,3.5530565708166932,797
25,0.21057250697770025,0.020147208409680668,56,394,0.7726632049143454,406
13,0.2104958443367084,0.04433138567578729,16,439,8.766193445173355,366
20,0.20971539418411722,0.02605541051954743,58,360,0.22038902476973404,499
0,0.20939465921997888,0.0646642271741456,50,321,1.2296071107325712,454
2,0.20829326391980604,0.1477317633429356,40,306,7.098936257405906,242
7,0.20801971913703007,0.08171890156969401,44,328,7.7178468621180665,609
6,0.20751674268043313,0.024591256383397347,52,255,1.3704648392849021,211
22,0.20590998638066166,0.013981555696217002,21,422,5.774821981724718,357
29,0.20453252507578815,0.03037791696269946,59,168,0.19301386080487665,496
16,0.20287108854238567,0.14894360302061269,44,390,2.0602501438393013,530
19,0.20227212422931193,0.017023426287738747,63,227,0.48539010121134757,714
4,0.19884590812454275,0.27895744302956854,54,258,3.639639356786391,271
10,0.1983758469753466,0.010716093154162982,62,59,0.10967097042542105,773
14,0.19071405109682676,0.2299012766931423,32,395,2.262289140480344,550
